Frequency (Hz)	Level (dB)
9375.000000	-92.696770
9421.875000	-92.758232
9468.750000	-93.202293
9515.625000	-93.434853
9562.500000	-92.825012
9609.375000	-92.768585
9656.250000	-93.122017
9703.125000	-93.385300
9750.000000	-93.119751
9796.875000	-93.161644
9843.750000	-93.215591
9890.625000	-93.595924
9937.500000	-93.201454
9984.375000	-93.241043
10031.250000	-93.571754
10078.125000	-93.359406
10125.000000	-93.153854
10171.875000	-93.375603
10218.750000	-93.150146
10265.625000	-93.079071
10312.500000	-93.399414
10359.375000	-93.496651
10406.250000	-93.414818
10453.125000	-93.444725
10500.000000	-93.321312
10546.875000	-93.124092
10593.750000	-93.273888
10640.625000	-93.389168
10687.500000	-93.046822
10734.375000	-92.937851
10781.250000	-92.865593
10828.125000	-92.876541
10875.000000	-93.304367
10921.875000	-93.266739
10968.750000	-92.996803
11015.625000	-92.986343
11062.500000	-92.612495
11109.375000	-92.438492
11156.250000	-92.636147
11203.125000	-92.774635
11250.000000	-92.891243
11296.875000	-93.011353
11343.750000	-93.333122
11390.625000	-93.189713
11437.500000	-92.792305
11484.375000	-92.669014
11531.250000	-93.175682
11578.125000	-93.000282
11625.000000	-92.782059
11671.875000	-92.978920
11718.750000	-93.148674
11765.625000	-93.179222
11812.500000	-92.895378
11859.375000	-92.954506
11906.250000	-93.119591
11953.125000	-93.576271
12000.000000	-93.374771
12046.875000	-93.828850
12093.750000	-93.871582
12140.625000	-93.788300
12187.500000	-93.742981
12234.375000	-93.525208
12281.250000	-93.398003
12328.125000	-93.463219
12375.000000	-93.442825
12421.875000	-93.788902
12468.750000	-93.817627
12515.625000	-93.604172
12562.500000	-93.385147
12609.375000	-93.601089
12656.250000	-93.444717
12703.125000	-93.123894
12750.000000	-93.613037
12796.875000	-93.871880
12843.750000	-93.339302
12890.625000	-93.229301
12937.500000	-93.236206
12984.375000	-93.687080
13031.250000	-94.011765
13078.125000	-94.032837
13125.000000	-94.316704
13171.875000	-93.881210
13218.750000	-93.637726
13265.625000	-93.405136
13312.500000	-93.688065
13359.375000	-93.677284
13406.250000	-93.539169
13453.125000	-93.479813
13500.000000	-93.505249
13546.875000	-93.572708
13593.750000	-93.835655
13640.625000	-93.931282
13687.500000	-93.662315
13734.375000	-93.559067
13781.250000	-93.908104
13828.125000	-93.727669
13875.000000	-93.589348
13921.875000	-93.797958
13968.750000	-94.141045
14015.625000	-94.148338
14062.500000	-93.955452
14109.375000	-93.607498
14156.250000	-93.481232
14203.125000	-93.774529
14250.000000	-94.115456
14296.875000	-93.715630
14343.750000	-93.604370
14390.625000	-93.262039
14437.500000	-93.557930
14484.375000	-93.745575
14531.250000	-93.559166
14578.125000	-93.855560
14625.000000	-94.235771
14671.875000	-93.989861
14718.750000	-93.674904
14765.625000	-94.012688
14812.500000	-93.772797
14859.375000	-94.086731
14906.250000	-94.040344
14953.125000	-93.855240
15000.000000	-93.881050
15046.875000	-93.594345
15093.750000	-93.228836
15140.625000	-93.407181
15187.500000	-94.262177
15234.375000	-94.250153
15281.250000	-94.147011
15328.125000	-93.909203
15375.000000	-93.279381
15421.875000	-93.710655
15468.750000	-93.789619
15515.625000	-93.563362
15562.500000	-93.783875
15609.375000	-93.702507
15656.250000	-93.612076
15703.125000	-93.734642
15750.000000	-93.862946
15796.875000	-93.909050
15843.750000	-93.820129
15890.625000	-93.684196
15937.500000	-93.644600
15984.375000	-94.243439
16031.250000	-94.149727
16078.125000	-93.912605
16125.000000	-94.046501
16171.875000	-93.804230
16218.750000	-93.626678
16265.625000	-94.083771
16312.500000	-94.497513
16359.375000	-94.199097
