Frequency (Hz)	Level (dB)
15750.000000	-76.033051
15796.875000	-75.952675
15843.750000	-76.362633
15890.625000	-77.147781
15937.500000	-78.035065
15984.375000	-78.323624
16031.250000	-78.174675
16078.125000	-77.845490
16125.000000	-78.119324
16171.875000	-77.987053
16218.750000	-77.336334
16265.625000	-78.076538
16312.500000	-77.235954
16359.375000	-77.464386
16406.250000	-78.138237
16453.125000	-78.111664
16500.000000	-78.183449
16546.875000	-78.646828
16593.750000	-78.508087
16640.625000	-78.613724
16687.500000	-78.106606
16734.375000	-77.861404
16781.250000	-77.701546
16828.125000	-77.896263
16875.000000	-78.191162
16921.875000	-78.008736
16968.750000	-78.920143
17015.625000	-79.123978
17062.500000	-78.436325
17109.375000	-79.078590
17156.250000	-78.417503
17203.125000	-78.230247
17250.000000	-78.863403
17296.875000	-78.105064
17343.750000	-76.942627
17390.625000	-78.142250
17437.500000	-78.956940
17484.375000	-78.889511
17531.250000	-78.608368
17578.125000	-78.478241
17625.000000	-78.842049
17671.875000	-79.038483
17718.750000	-79.286026
17765.625000	-78.300415
17812.500000	-78.114525
17859.375000	-78.463181
17906.250000	-78.688400
17953.125000	-79.551346
18000.000000	-79.045792
18046.875000	-79.071159
18093.750000	-79.057510
18140.625000	-79.223503
18187.500000	-79.658783
18234.375000	-80.366577
18281.250000	-80.278275
18328.125000	-79.569504
18375.000000	-78.741188
18421.875000	-79.976860
18468.750000	-79.764534
18515.625000	-78.984138
18562.500000	-79.611549
18609.375000	-80.210449
18656.250000	-79.783752
18703.125000	-80.310265
18750.000000	-79.219879
18796.875000	-79.544952
18843.750000	-79.197403
18890.625000	-79.869904
18937.500000	-80.054031
18984.375000	-79.517715
19031.250000	-79.510696
19078.125000	-79.387054
19125.000000	-79.976334
19171.875000	-80.300888
19218.750000	-79.628265
19265.625000	-80.056351
19312.500000	-79.810341
19359.375000	-79.399551
19406.250000	-80.919632
19453.125000	-80.129227
19500.000000	-79.894005
19546.875000	-80.581985
19593.750000	-79.771355
