Frequency (Hz)	Level (dB)
16640.625000	-70.985611
16687.500000	-70.327560
16734.375000	-75.200676
16781.250000	-75.260445
16828.125000	-75.087006
16875.000000	-79.482841
16921.875000	-81.469086
16968.750000	-81.727707
17015.625000	-85.909874
17062.500000	-84.476151
17109.375000	-83.049973
17156.250000	-84.370888
17203.125000	-85.898933
17250.000000	-83.896027
17296.875000	-79.754929
17343.750000	-81.832870
17390.625000	-82.115105
17437.500000	-84.868599
17484.375000	-85.023552
17531.250000	-87.033981
17578.125000	-88.204178
17625.000000	-88.059669
17671.875000	-84.868591
17718.750000	-81.533173
17765.625000	-77.624992
17812.500000	-76.725922
17859.375000	-80.041161
17906.250000	-77.797272
17953.125000	-77.114075
18000.000000	-80.228828
18046.875000	-83.846443
18093.750000	-85.844200
18140.625000	-83.625328
18187.500000	-83.747116
18234.375000	-86.090851
18281.250000	-88.071915
18328.125000	-88.261864
18375.000000	-87.015556
18421.875000	-85.549484
18468.750000	-83.663780
18515.625000	-82.294678
18562.500000	-83.813339
18609.375000	-85.562119
18656.250000	-87.014931
18703.125000	-86.844162
18750.000000	-85.451256
18796.875000	-82.777168
18843.750000	-81.653625
18890.625000	-79.799850
18937.500000	-81.011360
18984.375000	-83.692848
19031.250000	-84.727821
19078.125000	-86.421692
19125.000000	-89.590546
19171.875000	-90.571129
19218.750000	-91.947327
19265.625000	-93.085480
19312.500000	-91.963081
19359.375000	-91.490791
19406.250000	-90.563393
19453.125000	-90.710098
19500.000000	-90.913231
19546.875000	-90.578201
19593.750000	-90.000702
19640.625000	-89.234818
19687.500000	-90.731415
19734.375000	-93.236580
19781.250000	-93.116714
19828.125000	-91.367477
19875.000000	-87.075432
19921.875000	-87.989395
19968.750000	-86.846718
20015.625000	-85.899399
20062.500000	-87.607391
20109.375000	-87.737343
20156.250000	-88.298950
20203.125000	-88.564835
20250.000000	-89.197617
20296.875000	-91.451385
20343.750000	-96.101608
20390.625000	-95.144867
20437.500000	-90.797379
20484.375000	-89.115562
20531.250000	-89.075363
20578.125000	-89.195801
20625.000000	-88.374123
20671.875000	-88.585411
20718.750000	-90.285164
20765.625000	-90.922447
20812.500000	-90.217445
20859.375000	-88.160774
20906.250000	-88.311302
20953.125000	-87.421570
